,psraid,sample,int_date,lang,state,cregion,density,usr,pew1,pk1,pew2,pk2,pew3,pk3,pew4,pk4,pew5,pk5,pew6,pk6,pew8,pk8,pew9,pk9,pew10,pk10,pew11,pk11,pkscore,ql1,ql1a,qc1,hh1,employ,marital,par,sex,age,recage,educ2,receduc,hisp,race,racethn,inc,reg,party,partyln,weight
1,100006,Landline,62517,English,Michigan,Midwest,4,Suburban,John Kerry,0,Emmanuel Macron,1,a Supreme Court justice,1,James Comey,0,Arsenic,0,[VOL. DO NOT READ] Don't know,0,The United Kingdom,1,Mosquitoes,1,Nancy Pelosi,0,7%,0,4,"Yes, have cell phone",NA,NA,2,Not employed,Married,No,Male,76,65+,"Some college, no degree (includes some community college)",Some coll/Assoc degree,Yes,White,Hispanic,"$30,000 to under $40,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Republican,NA,1
2,100007,Landline,62217,English,Florida,South,2,Urban,Rex Tillerson,1,Emmanuel Macron,1,a Supreme Court justice,1,Robert Mueller,1,Arsenic,0,The Freedom Caucus,1,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,4%,1,9,"Yes, have cell phone",NA,NA,2,Not employed,Married,No,Male,70,65+,"Some college, no degree (includes some community college)",Some coll/Assoc degree,No,White,White~Hisp,"$150,000 or over",Are you NOT registered to vote at your current address,Republican,NA,2.19047619
3,100013,Landline,62217,English,Connecticut,Northeast,4,Urban,Rex Tillerson,1,Emmanuel Macron,1,a Supreme Court justice,1,Robert Mueller,1,Lead,1,The Freedom Caucus,1,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,4%,1,10,"Yes, have cell phone",NA,NA,2,Not employed,Married,No,Male,73,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Coll+,No,White,White~Hisp,"$100,000 to under $150,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Democrat,NA,1.952380952
4,100014,Landline,62217,English,Georgia,South,Lowest,Rural,Scott Pruitt,0,Justin Trudeau,0,a Supreme Court justice,1,Sean Spicer,0,Lead,1,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,Mosquitoes,1,Nancy Pelosi,0,7%,0,3,"Yes, have cell phone",NA,NA,1,Not employed,Widowed,No,Female,80,65+,High school graduate (Grade 12 with diploma or GED certificate),HS Grad or less,Yes,White,Hispanic,"$50,000 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Republican,NA,1.80952381
5,100025,Landline,62417,English,Missouri,Midwest,Highest,Urban,Rex Tillerson,1,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,Robert Mueller,1,Lead,1,The Freedom Caucus,1,The United Kingdom,1,Mosquitoes,1,Mitch McConnell,0,12%,0,6,"Yes, have cell phone",NA,NA,2,Employed full-time,Married,No,Female,65,65+,High school graduate (Grade 12 with diploma or GED certificate),HS Grad or less,Yes,White,Hispanic,"$30,000 to under $40,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Democrat,NA,3.047619048
6,100027,Landline,62417,English,New York,Northeast,Lowest,Rural,Rex Tillerson,1,Emmanuel Macron,1,a Supreme Court justice,1,Robert Mueller,1,Lead,1,[VOL. DO NOT READ] Refused,0,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,4%,1,9,"Yes, have cell phone",NA,NA,2,Not employed,Married,No,Male,74,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Coll+,No,White,White~Hisp,Don't know/Refused (VOL.),Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Republican,NA,1.19047619
7,100028,Landline,62317,English,New York,Northeast,4,Suburban,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,Arsenic,0,[VOL. DO NOT READ] Don't know,0,The United Kingdom,1,Mosquitoes,1,[VOL. DO NOT READ] Don't know,0,17%,0,2,"Yes, have cell phone",NA,NA,1,Not employed,Divorced,No,Male,77,65+,Less than high school (Grades 1-8 or no formal schooling),HS Grad or less,No,White,White~Hisp,"Less than $10,000",Are you NOT registered to vote at your current address,No preference (VOL.),Democratic,1.952380952
8,100033,Landline,62217,English,New Jersey,Northeast,4,Suburban,Rex Tillerson,1,Emmanuel Macron,1,a Supreme Court justice,1,Robert Mueller,1,[VOL. DO NOT READ] Don't know,0,The Freedom Caucus,1,The United Kingdom,1,Mosquitoes,1,Mitch McConnell,0,12%,0,7,"No, do not",No,NA,1,Not employed,Never been married,No,Female,87,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Coll+,No,White,White~Hisp,"$10,000 to under $20,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Republican,NA,1.714285714
9,100040,Landline,62517,English,Virginia,South,Lowest,Rural,Mitt Romney,0,[VOL. DO NOT READ] Don't know,0,a Supreme Court justice,1,James Comey,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,Germany,0,Mosquitoes,1,Paul Ryan,1,[VOL. DO NOT READ] Don't know,0,3,"No, do not","Yes, someone in household has cell phone",NA,1,Not employed,Widowed,No,Female,85,65+,"Some college, no degree (includes some community college)",Some coll/Assoc degree,No,White,White~Hisp,Don't know/Refused (VOL.),Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Republican,NA,1.047619048
10,100044,Landline,62317,English,New York,Northeast,Highest,Suburban,Rex Tillerson,1,Emmanuel Macron,1,[VOL. DO NOT READ] Don't know,0,Robert Mueller,1,Asbestos,0,[VOL. DO NOT READ] Don't know,0,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,12%,0,6,"Yes, have cell phone",NA,NA,1,Not employed,Widowed,No,Female,84,65+,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Coll+,No,White,White~Hisp,Don't know/Refused (VOL.),Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Democrat,NA,1
