bgyear,bgcitizen,bgmajor,bgmultimajor,bggender,gender,age,bgethnicity,race,bgmap2,pk1,pkpic2a,pk2,pkpic4a,pk3,pkhousemajority,pk4,pksenatemajority,pk5,pkoverride,pk6,pkpic5a,pk7,pknotnato,pk8,Q111,pk9,Q109,pk10,bgpk,gen,gen1,Q83,gen2,Q84,psc,Q85,psmm,Q86,undrgd,Q87,faculty,Q88,family,Q89,genpop,Q90,reps,Q91,dems,perception,p2,Q92_1,Q93_1,Q94_1,Q95_1,Q96_1,Q97_1,Q98_1,Q99_1,Q100_1,Q101_1,eff,ineff,exeff,eligible,midterm,vote,,volunteer,,sns,,button,,letter,,march,,money,,rally,,meeting,,part,prospect,Q114,,Q115_1,Q116,,Q117_1,Q118,,Q119_1,Q120,,Q121_1,Q122,trade,Q123_1,retro,real,aggpk,conf
Senior,Yes,Political Science,,Female,0,21,Caucasian/White,1,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Two thirds of the House and Senate,1,Germany,1,France,0,Brett Kavanaugh,1,PR systems tend to have a greater number of districts than SMD systems.,0,8,Somewhat above average,0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"low, in the bottom 26-50th percentile",0.5,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"low, in the bottom 26-50th percentile",0.5,"low, in the bottom 26-50th percentile",0.5,0.75,0.694444444,9,4,7,9,6,7,4,6,7,6,6.5,7,5.75,Yes,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,Yes,1,Yes,1,0.888888889,3,South/East Asia,0,3,Tony Blair,0,8,each voter has a chance to rank the candidates in order of preference,1,6,5.0-6.5%,0,9,Canada,0,3,2,1,17,5.8
Senior,Yes,I have more than one major,"Political Science,Social Sciences (e.g., Psychology, Sociology, Anthropology)",Female,0,21,Caucasian/White,1,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Three quarters of the House and two thirds of the Senate,0,Germany,1,Russia,1,Brett Kavanaugh,1,Voters in a PR district elect more representatives than voters in an SMD district.,1,9,Somewhat above average,0.75,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,0.857142857,0.888888889,9,8,2,8,9,6,6,2,7,7,6.4,7.2,5.5,Yes,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,No,0,Yes,1,0.777777778,4,Mexico,1,7,Theresa May,1,7,each voter has a chance to rank the candidates in order of preference,1,5,lower than 5.0%,1,4,China,1,8,4,5,23,6.2
Senior,Yes,Political Science,,Female,0,21,Caucasian/White,1,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Two thirds of the House and three quarters of the Senate,0,Germany,1,Russia,1,Brett Kavanaugh,1,"PR districts elect their district representatives directly, whereas SMD districts elect their representatives indirectly.",0,8,Somewhat above average,0.75,"low, in the bottom 26-50th percentile",0.5,"low, in the bottom 26-50th percentile",0.5,"low, in the bottom 26-50th percentile",0.5,"high, among the top 51-75th percentile",0.75,"low, in the bottom 26-50th percentile",0.5,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"low, in the bottom 26-50th percentile",0.5,"low, in the bottom 26-50th percentile",0.5,0.642857143,0.611111111,8,7,4,9,9,6,5,5,2,5,6,7.4,4.25,Yes,Yes,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,0.111111111,2,Mexico,1,1,Theresa May,1,8,each voter has a chance to rank the candidates in order of preference,1,3,lower than 5.0%,1,1,China,1,2,3,5,17,3
Senior,Yes,Other,,Male,1,22,Caucasian/White,1,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Two thirds of the House and Senate,1,Germany,1,Russia,1,Brett Kavanaugh,1,I do not know.,0,9,Somewhat above average,0.75,"high, among the top 51-75th percentile",0.75,"low, in the bottom 26-50th percentile",0.5,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"low, in the bottom 26-50th percentile",0.5,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,0.678571429,0.694444444,10,8,1,8,7,3,0,3,0,3,4.3,6.8,1.5,Yes,Yes,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,0.111111111,3,Other Latin America,0,2,Gordon Brown,0,0,each voter has a chance to rank the candidates in order of preference,1,6,6.6-8.0%,0,1,China,1,1,2,2,16,2
Senior,Yes,Political Science,,Female,0,21,Asian,0,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Two thirds of the House and Senate,1,Germany,1,Russia,1,Brett Kavanaugh,1,SMD systems tend to have greater magnitude than PR systems do at the national level.,0,9,Somewhat above average,0.75,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,0.892857143,0.888888889,6,7,5,5,5,5,5,5,5,5,5.3,5.6,5,Yes,No,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,0.111111111,3,South/East Asia,0,2,Theresa May,1,8,each voter has a chance to rank the candidates in order of preference,1,1,lower than 5.0%,1,8,China,1,3,2,4,20,4.4
Senior,No,Political Science,,Female,0,22,Caucasian/White,1,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Three quarters of the House and two thirds of the Senate,0,Denmark,0,Russia,1,Brett Kavanaugh,1,I do not know.,0,7,Far above average,1,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,0.857142857,0.888888889,8,9,0,10,10,10,6,0,8,6,6.7,7.4,5,No,,No,0,Yes,1,Yes,1,No,0,Yes,1,Yes,1,No,0,No,0,Yes,1,0.555555556,5,Mexico,1,10,Theresa May,1,10,each voter has a chance to rank the candidates in order of preference,1,10,lower than 5.0%,1,10,Canada,0,10,5,4,19,10
Senior,No,Agriculture,,Female,0,22,Asian,0,Had the highest sales tax rates,0,Kirsten Gillibrand,0,Secretary of State,0,Republican Party,1,Republican Party,1,Two thirds of the House and three quarters of the Senate,0,Germany,1,Russia,1,Brett Kavanaugh,1,Voters in a PR district elect more representatives than voters in an SMD district.,1,6,Far below average,0.25,"very low, in the bottom 25th percentile",0.25,"very low, in the bottom 25th percentile",0.25,"very low, in the bottom 25th percentile",0.25,"very low, in the bottom 25th percentile",0.25,"very low, in the bottom 25th percentile",0.25,"very low, in the bottom 25th percentile",0.25,"very low, in the bottom 25th percentile",0.25,"very low, in the bottom 25th percentile",0.25,"very low, in the bottom 25th percentile",0.25,0.25,0.25,0,1,8,0,2,0,2,2,8,5,2.8,2.2,4.25,No,,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,0,1,Mexico,1,0,Theresa May,1,0,each voter has a chance to rank the candidates in order of preference,1,0,8.1% or higher,0,0,Canada,0,0,1,3,13,0
Senior,Yes,Political Science,,Male,1,21,Caucasian/White,1,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Two thirds of the House and Senate,1,Germany,1,Russia,1,Brett Kavanaugh,1,"PR districts elect their district representatives directly, whereas SMD districts elect their representatives indirectly.",0,9,Somewhat above average,0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,0.857142857,0.861111111,7,7,4,6,6,7,4,5,6,5,5.7,6,5,Yes,Yes,Yes,1,No,0,No,0,No,0,No,0,Yes,1,No,0,No,0,No,0,0.222222222,4,Mexico,1,7,Theresa May,1,3,each voter has a chance to rank the candidates in order of preference,1,6,lower than 5.0%,1,7,Canada,0,10,3,4,22,6.6
Senior,Yes,I have more than one major,"Political Science,Humanities (e.g., English, History, Philosophy)",Female,0,21,Caucasian/White,1,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Two thirds of the House and Senate,1,Germany,1,Russia,1,Brett Kavanaugh,1,I do not know.,0,9,Far above average,1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,0.964285714,0.972222222,10,10,1,6,10,10,9,10,10,10,8.6,7.4,9.75,Yes,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,No,0,No,0,No,0,0.555555556,5,Mexico,1,10,Theresa May,1,10,each voter has a chance to rank the candidates in order of preference,1,10,8.1% or higher,0,10,China,1,10,5,4,21,10
Senior,No,Political Science,,Male,1,22,Asian,0,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Two thirds of the House and Senate,1,Germany,1,Russia,1,Brett Kavanaugh,1,Voters in a PR district elect more representatives than voters in an SMD district.,1,10,Far above average,1,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"low, in the bottom 26-50th percentile",0.5,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,0.785714286,0.777777778,6,7,3,7,7,7,4,5,6,6,5.8,6,5.25,No,,No,0,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,Yes,1,Yes,1,0.666666667,3,South/East Asia,0,9,Theresa May,1,10,each voter has a chance to rank the candidates in order of preference,1,7,lower than 5.0%,1,10,China,1,10,3,4,21,9.2
